,State,year,public,private,ratio,total
0,ALABAMA,2015,3569,2904,0.813673297842533,6473
1,ALABAMA,2016,3392,3090,0.9109669811320755,6482
2,ALABAMA,2017,2874,3156,1.0981210855949897,6030
3,ALABAMA,2018,3360,4165,1.2395833333333333,7525
4,ALABAMA,2019,3723,6030,1.6196615632554392,9753
5,ALASKA,2015,3263,475,0.1455715599141894,3738
6,ALASKA,2016,2618,224,0.0855614973262032,2842
7,ALASKA,2017,1586,236,0.14880201765447668,1822
8,ALASKA,2018,1352,352,0.2603550295857988,1704
9,ALASKA,2019,1384,449,0.32442196531791906,1833
10,ARIZONA,2015,2817,3498,1.2417465388711395,6315
11,ARIZONA,2016,2824,4006,1.4185552407932012,6830
12,ARIZONA,2017,4253,3944,0.9273454032447684,8197
13,ARIZONA,2018,4169,5685,1.3636363636363635,9854
14,ARIZONA,2019,4390,8024,1.8277904328018224,12414
15,ARKANSAS,2015,1976,2654,1.3431174089068827,4630
16,ARKANSAS,2016,2816,2319,0.8235085227272727,5135
17,ARKANSAS,2017,2586,2155,0.8333333333333334,4741
18,ARKANSAS,2018,3491,2257,0.6465196218848468,5748
19,ARKANSAS,2019,2233,2754,1.2333184057321989,4987
20,CALIFORNIA,2015,32749,19908,0.6078964243182998,52657
21,CALIFORNIA,2016,30438,26305,0.8642157829029503,56743
22,CALIFORNIA,2017,32872,30230,0.9196276466293503,63102
23,CALIFORNIA,2018,37287,30416,0.815726660766487,67703
24,CALIFORNIA,2019,39565,24786,0.6264627827625426,64351
25,COLORADO,2015,4717,5821,1.2340470638117447,10538
26,COLORADO,2016,5323,7040,1.3225624647755025,12363
27,COLORADO,2017,7190,7424,1.0325452016689847,14614
28,COLORADO,2018,6807,6555,0.9629792860290877,13362
29,COLORADO,2019,5377,5690,1.058210898270411,11067
30,CONNECTICUT,2015,3304,1920,0.5811138014527845,5224
31,CONNECTICUT,2016,3242,1933,0.5962368908081431,5175
32,CONNECTICUT,2017,2398,2011,0.8386155129274395,4409
33,CONNECTICUT,2018,2695,2325,0.862708719851577,5020
34,CONNECTICUT,2019,2822,2274,0.8058114812189936,5096
35,DELAWARE,2015,748,478,0.6390374331550802,1226
36,DELAWARE,2016,801,667,0.83270911360799,1468
37,DELAWARE,2017,899,1034,1.150166852057842,1933
38,DELAWARE,2018,1067,1206,1.1302717900656045,2273
39,DELAWARE,2019,939,1444,1.5378061767838125,2383
40,DISTRICT OF COLUMBIA,2015,1348,1699,1.260385756676558,3047
41,DISTRICT OF COLUMBIA,2016,1124,2402,2.1370106761565837,3526
42,DISTRICT OF COLUMBIA,2017,1354,2661,1.965288035450517,4015
43,DISTRICT OF COLUMBIA,2018,1807,2621,1.450470392916436,4428
44,DISTRICT OF COLUMBIA,2019,1346,2173,1.6144130757800892,3519
45,FLORIDA,2015,12227,12741,1.0420381123742537,24968
46,FLORIDA,2016,12846,14298,1.1130312937879496,27144
47,FLORIDA,2017,13446,16886,1.2558381674847539,30332
48,FLORIDA,2018,13943,19746,1.41619450620383,33689
49,FLORIDA,2019,14900,22984,1.5425503355704697,37884
50,GEORGIA,2015,5607,7782,1.387907972177635,13389
51,GEORGIA,2016,6840,8726,1.2757309941520467,15566
52,GEORGIA,2017,6620,9248,1.3969788519637463,15868
53,GEORGIA,2018,7938,9420,1.1866969009826154,17358
54,GEORGIA,2019,8572,10749,1.2539664022398507,19321
55,HAWAII,2015,2310,1740,0.7532467532467533,4050
56,HAWAII,2016,2196,1737,0.7909836065573771,3933
57,HAWAII,2017,2390,1525,0.6380753138075314,3915
58,HAWAII,2018,2972,1454,0.4892328398384926,4426
59,HAWAII,2019,3302,967,0.2928528164748637,4269
60,IDAHO,2015,662,931,1.406344410876133,1593
61,IDAHO,2016,992,1394,1.405241935483871,2386
62,IDAHO,2017,1148,1338,1.1655052264808363,2486
63,IDAHO,2018,1262,1609,1.2749603803486529,2871
64,IDAHO,2019,1132,1501,1.3259717314487633,2633
65,ILLINOIS,2015,10828,9976,0.921315108976727,20804
66,ILLINOIS,2016,9893,9748,0.9853431719397554,19641
67,ILLINOIS,2017,9416,8799,0.9344732370433305,18215
68,ILLINOIS,2018,9095,8989,0.988345244639912,18084
69,ILLINOIS,2019,9062,7567,0.8350253807106599,16629
70,INDIANA,2015,4785,6269,1.310135841170324,11054
71,INDIANA,2016,5625,5232,0.9301333333333334,10857
72,INDIANA,2017,4292,5824,1.3569431500465983,10116
73,INDIANA,2018,5037,5718,1.1351995235259082,10755
74,INDIANA,2019,5671,6011,1.0599541527067537,11682
75,IOWA,2015,4699,7399,1.5745903383698658,12098
76,IOWA,2016,4338,6193,1.4276164130935916,10531
77,IOWA,2017,3551,5037,1.4184736693889046,8588
78,IOWA,2018,3203,5154,1.6091164533250077,8357
79,IOWA,2019,4663,3767,0.8078490242333262,8430
80,KANSAS,2015,2723,2580,0.9474843922144693,5303
81,KANSAS,2016,3695,3127,0.8462787550744248,6822
82,KANSAS,2017,2324,3044,1.3098106712564543,5368
83,KANSAS,2018,2350,3442,1.4646808510638298,5792
84,KANSAS,2019,2767,2616,0.9454282616552223,5383
85,KENTUCKY,2015,4195,3744,0.8924910607866507,7939
86,KENTUCKY,2016,3633,4101,1.128819157720892,7734
87,KENTUCKY,2017,3595,4400,1.2239221140472878,7995
88,KENTUCKY,2018,3673,4975,1.3544786278246665,8648
89,KENTUCKY,2019,3251,6085,1.8717317748385112,9336
90,LOUISIANA,2015,5200,14874,2.8603846153846155,20074
91,LOUISIANA,2016,3993,15254,3.820185324317556,19247
92,LOUISIANA,2017,4265,15055,3.52989449003517,19320
93,LOUISIANA,2018,3958,13259,3.3499242041435067,17217
94,LOUISIANA,2019,3103,10522,3.3909120206252013,13625
95,MAINE,2015,647,667,1.0309119010819165,1314
96,MAINE,2016,542,495,0.9132841328413284,1037
97,MAINE,2017,416,609,1.4639423076923077,1025
98,MAINE,2018,705,605,0.8581560283687943,1310
99,MAINE,2019,1401,838,0.5981441827266238,2239
100,MARYLAND,2015,5696,3809,0.6687148876404494,9505
101,MARYLAND,2016,5764,4370,0.7581540596807772,10134
102,MARYLAND,2017,5451,3569,0.6547422491286002,9020
103,MARYLAND,2018,5023,4368,0.8695998407326299,9391
104,MARYLAND,2019,5653,3850,0.681054307447373,9503
105,MASSACHUSETTS,2015,7346,8032,1.093384154641982,15378
106,MASSACHUSETTS,2016,6260,8868,1.4166134185303514,15128
107,MASSACHUSETTS,2017,5891,11080,1.8808351722967238,16971
108,MASSACHUSETTS,2018,5985,11720,1.9582289055973265,17705
109,MASSACHUSETTS,2019,6685,11111,1.66207928197457,17796
110,MICHIGAN,2015,6038,6498,1.0761841669426964,12536
111,MICHIGAN,2016,5224,7188,1.3759571209800918,12412
112,MICHIGAN,2017,5636,7417,1.3160042583392477,13053
113,MICHIGAN,2018,5291,7369,1.3927423927423928,12660
114,MICHIGAN,2019,5092,8349,1.639630793401414,13441
115,MINNESOTA,2015,6806,4939,0.7256832206876286,11745
116,MINNESOTA,2016,7260,4564,0.6286501377410468,11824
117,MINNESOTA,2017,6726,4555,0.6772227178114778,11281
118,MINNESOTA,2018,6477,5104,0.7880191446657403,11581
119,MINNESOTA,2019,8050,5521,0.6858385093167702,13571
120,MISSISSIPPI,2015,1509,1902,1.260437375745527,3411
121,MISSISSIPPI,2016,2211,856,0.38715513342379015,3067
122,MISSISSIPPI,2017,2535,683,0.26942800788954635,3218
123,MISSISSIPPI,2018,2234,1134,0.5076096687555953,3368
124,MISSISSIPPI,2019,1509,1054,0.6984758117958914,2563
125,MISSOURI,2015,3399,4083,1.2012356575463372,7482
126,MISSOURI,2016,3780,4830,1.2777777777777777,8610
127,MISSOURI,2017,4112,5161,1.2551070038910506,9273
128,MISSOURI,2018,2973,5791,1.9478641103262697,8764
129,MISSOURI,2019,3202,5880,1.8363522798251093,9082
130,MONTANA,2015,873,1272,1.4570446735395188,2145
131,MONTANA,2016,930,841,0.9043010752688172,1771
132,MONTANA,2017,1104,869,0.7871376811594203,1973
133,MONTANA,2018,1565,765,0.48881789137380194,2330
134,MONTANA,2019,1257,532,0.4232299124900557,1789
135,NEBRASKA,2015,2556,1612,0.6306729264475743,4168
136,NEBRASKA,2016,2645,2068,0.7818525519848771,4713
137,NEBRASKA,2017,1878,2254,1.200212992545261,4132
138,NEBRASKA,2018,1793,2863,1.596765197992192,4656
139,NEBRASKA,2019,1596,2292,1.4360902255639099,3888
140,NEVADA,2015,2216,5830,2.63086642599278,8046
141,NEVADA,2016,2649,6482,2.4469611174027937,9131
142,NEVADA,2017,2340,4867,2.07991452991453,7207
143,NEVADA,2018,2949,4247,1.4401492031197016,7196
144,NEVADA,2019,4528,4335,0.9573763250883393,8863
145,NEW HAMPSHIRE,2015,751,564,0.7509986684420772,1315
146,NEW HAMPSHIRE,2016,871,627,0.7198622273249139,1498
147,NEW HAMPSHIRE,2017,885,893,1.0090395480225989,1778
148,NEW HAMPSHIRE,2018,887,713,0.8038331454340474,1600
149,NEW HAMPSHIRE,2019,609,684,1.1231527093596059,1293
150,NEW JERSEY,2015,6704,4340,0.6473747016706444,11044
151,NEW JERSEY,2016,6940,4833,0.6963976945244956,11773
152,NEW JERSEY,2017,5135,6475,1.2609542356377799,11610
153,NEW JERSEY,2018,5490,6982,1.2717668488160292,12472
154,NEW JERSEY,2019,5666,6725,1.1869043416872573,12391
155,NEW MEXICO,2015,1584,1401,0.884469696969697,2985
156,NEW MEXICO,2016,1387,1128,0.8132660418168709,2515
157,NEW MEXICO,2017,1282,1791,1.3970358814352575,3073
158,NEW MEXICO,2018,1682,1897,1.1278240190249702,3579
159,NEW MEXICO,2019,1603,1299,0.8103555832813475,2902
160,NEW YORK,2015,21448,24596,1.1467735919433046,46044
161,NEW YORK,2016,20434,30901,1.5122345111089361,51335
162,NEW YORK,2017,20392,27879,1.3671537857983522,48271
163,NEW YORK,2018,21217,31481,1.4837630202196352,52698
164,NEW YORK,2019,24048,32058,1.3330838323353293,56106
165,NORTH CAROLINA,2015,5717,5218,0.9127164596816513,10935
166,NORTH CAROLINA,2016,6823,7751,1.1360105525428696,14574
167,NORTH CAROLINA,2017,6610,9617,1.4549167927382753,16227
168,NORTH CAROLINA,2018,7677,10159,1.3233033737136903,17836
169,NORTH CAROLINA,2019,9369,9897,1.0563560678834454,19266
170,NORTH DAKOTA,2015,3185,2028,0.636734693877551,5213
171,NORTH DAKOTA,2016,2914,2880,0.9883321894303363,5794
172,NORTH DAKOTA,2017,2515,1668,0.663220675944334,4183
173,NORTH DAKOTA,2018,1421,1220,0.8585503166783955,2641
174,NORTH DAKOTA,2019,1620,1546,0.9543209876543209,3166
175,OHIO,2015,8804,7446,0.8457519309404816,16250
176,OHIO,2016,9430,8550,0.9066808059384942,17980
177,OHIO,2017,8515,8698,1.021491485613623,17213
178,OHIO,2018,9044,9686,1.070986289252543,18730
179,OHIO,2019,9705,9490,0.9778464708912932,19195
180,OKLAHOMA,2015,5622,4676,0.831732479544646,10298
181,OKLAHOMA,2016,5376,4035,0.7505580357142857,9411
182,OKLAHOMA,2017,4226,3872,0.9162328442972077,8098
183,OKLAHOMA,2018,3701,3848,1.0397189948662524,7549
184,OKLAHOMA,2019,4090,3780,0.9242053789731052,7870
185,OREGON,2015,2429,3375,1.3894606834088101,5804
186,OREGON,2016,2793,3498,1.2524167561761548,6291
187,OREGON,2017,3882,3858,0.9938176197836167,7740
188,OREGON,2018,4591,4387,0.9555652363319538,8978
189,OREGON,2019,4643,4929,1.0615981046737024,9572
190,PENNSYLVANIA,2015,9280,7640,0.8232758620689655,16920
191,PENNSYLVANIA,2016,8406,7138,0.8491553652153224,15544
192,PENNSYLVANIA,2017,7470,8245,1.1037483266398929,15715
193,PENNSYLVANIA,2018,8141,12638,1.5523891413831226,20779
194,PENNSYLVANIA,2019,9596,12591,1.3121092121717381,22187
195,RHODE ISLAND,2015,573,500,0.8726003490401396,1073
196,RHODE ISLAND,2016,648,530,0.8179012345679012,1178
197,RHODE ISLAND,2017,553,874,1.5804701627486437,1427
198,RHODE ISLAND,2018,721,1187,1.6463245492371705,1908
199,RHODE ISLAND,2019,815,1554,1.9067484662576688,2369
200,SOUTH CAROLINA,2015,2853,3420,1.1987381703470033,6273
201,SOUTH CAROLINA,2016,4559,5141,1.127659574468085,9700
202,SOUTH CAROLINA,2017,4989,5639,1.130286630587292,10628
203,SOUTH CAROLINA,2018,5231,6464,1.2357101892563562,11695
204,SOUTH CAROLINA,2019,4541,5467,1.2039198414446157,10008
205,SOUTH DAKOTA,2015,1259,646,0.5131056393963463,1905
206,SOUTH DAKOTA,2016,1495,959,0.6414715719063545,2454
207,SOUTH DAKOTA,2017,1223,1602,1.3098937040065413,2825
208,SOUTH DAKOTA,2018,920,2304,2.5043478260869567,3224
209,SOUTH DAKOTA,2019,1498,1226,0.8184245660881175,2724
210,TENNESSEE,2015,3326,5271,1.584786530366807,8597
211,TENNESSEE,2016,3367,5037,1.495990495990496,8404
212,TENNESSEE,2017,3565,6090,1.7082748948106592,9655
213,TENNESSEE,2018,3673,6912,1.8818404573917777,10585
214,TENNESSEE,2019,5272,7205,1.3666540212443095,12477
215,TEXAS,2015,26951,46334,1.7191940929835627,73285
216,TEXAS,2016,28084,52075,1.8542586526135878,80159
217,TEXAS,2017,31623,45980,1.4540049963634063,77603
218,TEXAS,2018,33705,41387,1.2279187064233794,75092
219,TEXAS,2019,36535,45352,1.2413302312850691,81887
220,UTAH,2015,3647,1847,0.5064436523169729,5494
221,UTAH,2016,2977,2027,0.6808867987907289,5004
222,UTAH,2017,3371,2482,0.7362800355977455,5853
223,UTAH,2018,3789,2081,0.5492214304565849,5870
224,UTAH,2019,4335,2120,0.48904267589388695,6455
225,VERMONT,2015,279,440,1.5770609318996416,719
226,VERMONT,2016,253,542,2.142292490118577,795
227,VERMONT,2017,519,605,1.165703275529865,1124
228,VERMONT,2018,615,447,0.7268292682926829,1062
229,VERMONT,2019,214,363,1.6962616822429906,577
230,VIRGINIA,2015,6321,4023,0.6364499288087327,10344
231,VIRGINIA,2016,5959,5386,0.9038429266655479,11345
232,VIRGINIA,2017,6118,6838,1.117685518143184,12956
233,VIRGINIA,2018,7339,7256,0.9886905572966345,14595
234,VIRGINIA,2019,7711,8230,1.0673064453378291,15941
235,WASHINGTON,2015,7828,6824,0.8717424629535002,14652
236,WASHINGTON,2016,9688,7069,0.7296655656482246,16757
237,WASHINGTON,2017,11013,7744,0.7031689821120494,18757
238,WASHINGTON,2018,10728,8229,0.7670581655480985,18957
239,WASHINGTON,2019,12011,6643,0.553076346682208,18654
240,WEST VIRGINIA,2015,1448,494,0.3411602209944751,1942
241,WEST VIRGINIA,2016,1340,321,0.23955223880597015,1661
242,WEST VIRGINIA,2017,1504,286,0.1901595744680851,1790
243,WEST VIRGINIA,2018,1134,498,0.43915343915343913,1632
244,WEST VIRGINIA,2019,1617,654,0.4044526901669759,2271
245,WISCONSIN,2015,4809,3852,0.8009981285090455,8661
246,WISCONSIN,2016,5620,3739,0.6653024911032028,9359
247,WISCONSIN,2017,5762,4174,0.7244012495661228,9936
248,WISCONSIN,2018,5143,5476,1.064748201438849,10619
249,WISCONSIN,2019,5728,7032,1.2276536312849162,12760
250,WYOMING,2015,1590,946,0.5949685534591195,2536
251,WYOMING,2016,1472,585,0.39741847826086957,2057
252,WYOMING,2017,971,474,0.4881565396498455,1445
253,WYOMING,2018,876,351,0.4006849315068493,1227
254,WYOMING,2019,771,298,0.3865110246433204,1069
